"longitude";"latitude";"daily.max"
-77.3078;39.9231;81
-76.8172;39.0284;74
-76.1114;38.445;84
-74.552;41.9422;69
-80.8477;38.8795;86
-83.0662;37.9214;58
-79.8365;35.2632;59.1
-83.4305;35.0608;53
-83.2605;39.6359;58
-83.9422;35.6331;69
-79.2515;39.9878;56
-82.9982;40.9173;42
-80.1451;41.4271;61
-84.7286;39.5327;47
-79.6617;39.0904;57
-78.3069;37.1655;66
-82.0454;36.1058;62
-77.9319;40.7208;61
-81.3373;39.9428;55
-78.4347;38.5231;66
-83.8268;36.47;74
-80.5578;37.3297;84
-74.8729;40.3125;77
