"longitude";"latitude";"daily.max"
-77.3078;39.9231;74
-76.8172;39.0284;88
-76.1114;38.445;60
-74.552;41.9422;41
-80.8477;38.8795;47
-83.0662;37.9214;59
-79.8365;35.2632;63.6
-83.4305;35.0608;48
-83.2605;39.6359;60
-83.9422;35.6331;64
-79.2515;39.9878;61
-82.9982;40.9173;71
-80.1451;41.4271;62
-84.7286;39.5327;62
-79.6617;39.0904;52
-78.3069;37.1655;51
-82.0454;36.1058;55
-77.9319;40.7208;65
-81.3373;39.9428;58
-78.4347;38.5231;56
-83.8268;36.47;66
-80.5578;37.3297;63
-74.8729;40.3125;56
